"CallerFile","Line","Target","Resolution","TargetFile","TargetVariants"
"052_9. Ручные со связ. ст_МАСТЕР_синхрон.txt","64","К_запросу_ручные_ВГО","CrossUnique","049_9. Ручные со связ. ст_2_к_запросу.txt","1"
"052_9. Ручные со связ. ст_МАСТЕР_синхрон.txt","72","Отметить_ручные_ВГО_к_Запросу","CrossUnique","050_9. Ручные со связ. ст_3_синхрон_с_популяцией.txt","1"
"057_10. РО по вводу доходов_триггер_на_настройки.txt","149","Мастер_РО_по_вводу_доходов","CrossUnique","059_10. РО по вводу доходов_МАСТЕР.txt","1"
"059_10. РО по вводу доходов_МАСТЕР.txt","56","Заполнить_РО_по_вводу_доходов_популяция","CrossUnique","053_10. РО по вводу доходов_1_популяция.txt","1"
"059_10. РО по вводу доходов_МАСТЕР.txt","64","Копировать_РО_по_вводу_доходов_в_3л","CrossUnique","054_10. РО по вводу доходов_2_фильтр_3л.txt","1"
"059_10. РО по вводу доходов_МАСТЕР.txt","72","Рандом_выборка_РО_по_вводу_доходов","CrossUnique","055_10. РО по вводу доходов_3_рандом выборка.txt","1"
"059_10. РО по вводу доходов_МАСТЕР.txt","80","Вставить_на_лист_РО_по_вводу","CrossUnique","056_10. РО по вводу доходов_4_вставить_на_лист.txt","1"
"059_10. РО по вводу доходов_МАСТЕР.txt","88","Отметить_РО_по_вводу_К_Запросу","CrossUnique","058_10. РО по вводу доходов_5_синхрон_с_популяцией.txt","1"
"064_11. РО рандомные_триггер_на_настройки.txt","149","Мастер_РО_рандомные","CrossUnique","066_11. РО рандомные_МАСТЕР.txt","1"
"066_11. РО рандомные_МАСТЕР.txt","56","Заполнить_РО_рандомные_популяция","CrossUnique","060_11. РО рандомные_1_популяция.txt","1"
"066_11. РО рандомные_МАСТЕР.txt","64","Копировать_РО_рандомные_в_3л","CrossUnique","061_11. РО рандомные_2_фильтр_3л.txt","1"
"066_11. РО рандомные_МАСТЕР.txt","72","Рандом_выборка_РО_рандомные","CrossUnique","062_11. РО рандомные_3_рандом выборка.txt","1"
"066_11. РО рандомные_МАСТЕР.txt","80","Вставить_на_лист_РО_рандомные","CrossUnique","063_11. РО рандомные_4_вставить_на_лист.txt","1"
"066_11. РО рандомные_МАСТЕР.txt","88","Отметить_РО_рандомные_К_Запросу","CrossUnique","065_11. РО рандомные_5_синхрон_с_популяцией.txt","1"
"074_13. ПОДФТ_0_МАСТЕР.txt","58","К_запросу_ПОДФТ","CrossUnique","072_13. ПОДФТ_1_к_запросу.txt","1"
"074_13. ПОДФТ_0_МАСТЕР.txt","66","Отметить_ПОДФТ_к_Запросу","CrossUnique","073_13. ПОДФТ_2_синхрон.txt","1"
